date,stage,group,team1,team2,team1_goals,team2_goals,extra_time,penalties,winner
2026-06-11,Group Stage,A,Mexico,South Africa,2,0,0,0,Mexico
2026-06-12,Group Stage,A,South Korea,Czech Republic,2,1,0,0,South Korea
2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,1,1,0,0,
2026-06-13,Group Stage,D,USA,Paraguay,4,1,0,0,USA
2026-06-14,Group Stage,C,Haiti,Scotland,0,1,0,0,Scotland
2026-06-14,Group Stage,D,Australia,Türkiye,2,0,0,0,Australia
2026-06-13,Group Stage,C,Brazil,Morocco,1,1,0,0,
2026-06-13,Group Stage,B,Qatar,Switzerland,1,1,0,0,
2026-06-15,Group Stage,E,Côte d'Ivoire,Ecuador,1,0,0,0,Côte d'Ivoire
2026-06-14,Group Stage,E,Germany,Curaçao,7,1,0,0,Germany
2026-06-14,Group Stage,F,Netherlands,Japan,2,2,0,0,
2026-06-15,Group Stage,F,Sweden,Tunisia,5,1,0,0,Sweden
2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,1,1,0,0,
2026-06-15,Group Stage,H,Spain,Cape Verde,0,0,0,0,
2026-06-16,Group Stage,G,Iran,New Zealand,2,2,0,0,
2026-06-15,Group Stage,G,Belgium,Egypt,1,1,0,0,
2026-06-16,Group Stage,I,France,Senegal,3,1,0,0,France
2026-06-16,Group Stage,I,Iraq,Norway,1,4,0,0,Norway
2026-06-17,Group Stage,J,Argentina,Algeria,3,0,0,0,Argentina
2026-06-17,Group Stage,J,Austria,Jordan,3,1,0,0,Austria
2026-06-18,Group Stage,L,Ghana,Panama,1,0,0,0,Ghana
2026-06-17,Group Stage,L,England,Croatia,4,2,0,0,England
2026-06-17,Group Stage,K,Portugal,DR Congo,1,1,0,0,
2026-06-18,Group Stage,K,Uzbekistan,Colombia,1,3,0,0,Colombia
2026-06-18,Group Stage,A,Czech Republic,South Africa,1,1,0,0,
2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,4,1,0,0,Switzerland
2026-06-18,Group Stage,B,Canada,Qatar,6,0,0,0,Canada
2026-06-19,Group Stage,A,Mexico,South Korea,1,0,0,0,Mexico
2026-06-20,Group Stage,C,Brazil,Haiti,3,0,0,0,Brazil
2026-06-19,Group Stage,C,Scotland,Morocco,0,1,0,0,Morocco
2026-06-20,Group Stage,D,Türkiye,Paraguay,0,1,0,0,Paraguay
2026-06-19,Group Stage,D,USA,Australia,2,0,0,0,USA
2026-06-20,Group Stage,E,Germany,Côte d'Ivoire,2,1,0,0,Germany
2026-06-21,Group Stage,E,Ecuador,Curaçao,0,0,0,0,
2026-06-20,Group Stage,F,Netherlands,Sweden,5,1,0,0,Netherlands
2026-06-21,Group Stage,F,Tunisia,Japan,0,4,0,0,Japan
2026-06-21,Group Stage,H,Uruguay,Cape Verde,2,2,0,0,
2026-06-21,Group Stage,H,Spain,Saudi Arabia,4,0,0,0,Spain
2026-06-21,Group Stage,G,Belgium,Iran,0,0,0,0,
2026-06-22,Group Stage,G,New Zealand,Egypt,1,3,0,0,Egypt
2026-06-23,Group Stage,I,Norway,Senegal,3,2,0,0,Norway
2026-06-22,Group Stage,I,France,Iraq,3,0,0,0,France
2026-06-22,Group Stage,J,Argentina,Austria,2,0,0,0,Argentina
2026-06-23,Group Stage,J,Jordan,Algeria,1,2,0,0,Algeria
2026-06-23,Group Stage,L,England,Ghana,0,0,0,0,
2026-06-24,Group Stage,L,Panama,Croatia,0,1,0,0,Croatia
2026-06-23,Group Stage,K,Portugal,Uzbekistan,5,0,0,0,Portugal
2026-06-24,Group Stage,K,Colombia,DR Congo,1,0,0,0,Colombia
2026-06-24,Group Stage,C,Scotland,Brazil,0,3,0,0,Brazil
2026-06-24,Group Stage,C,Morocco,Haiti,4,2,0,0,Morocco
2026-06-24,Group Stage,B,Switzerland,Canada,2,1,0,0,Switzerland
2026-06-24,Group Stage,B,Bosnia and Herzegovina,Qatar,3,1,0,0,Bosnia and Herzegovina
2026-06-25,Group Stage,A,Czech Republic,Mexico,0,3,0,0,Mexico
2026-06-25,Group Stage,A,South Africa,South Korea,1,0,0,0,South Africa
2026-06-25,Group Stage,E,Curaçao,Côte d'Ivoire,0,2,0,0,Côte d'Ivoire
2026-06-25,Group Stage,E,Ecuador,Germany,2,1,0,0,Ecuador
2026-06-26,Group Stage,F,Japan,Sweden,1,1,0,0,
2026-06-26,Group Stage,F,Tunisia,Netherlands,1,3,0,0,Netherlands
2026-06-26,Group Stage,D,Türkiye,USA,3,2,0,0,Türkiye
2026-06-26,Group Stage,D,Paraguay,Australia,0,0,0,0,
